Channels,Layers,Runtime,TrainAcc,TestAcc
2,1,19.87312602996826,0.27149213031622255,0.25879004353164414
4,2,49.91686820983887,0.2946945414533799,0.2847974104252707
8,2,55.37646293640137,0.3259579964598383,0.30304721509097
16,3,159.6701250076294,0.39180978806869826,0.3476950552517022
32,4,378.87384390830994,0.4420178921685882,0.3776091081593928
64,5,1373.6433839797974,0.6168731760991245,0.439390556981806
